# Standardized format: timestamp,action,coin,amount,price,portfolio_value
# Old entries filled with placeholders for missing fields
2025-05-20T04:36:21.943392,BUY,litecoin,0.084972,10000.00,10000.00
2025-05-20T04:36:22.963915,BUY,cardano,0.067977,10000.00,10000.00
2025-05-20T04:36:23.987466,BUY,dogecoin,0.054382,10000.00,10000.00
2025-05-20T04:36:24.999770,SELL,bitcoin,0.116384,10000.00,10000.00
2025-05-20T04:36:26.022397,SELL,ethereum,0.093107,10000.00,10000.00
2025-05-20T04:36:27.035040,SELL,litecoin,0.074486,10000.00,10000.00
2025-05-20T04:36:28.058781,SELL,cardano,0.059589,10000.00,10000.00
2025-05-20T04:36:29.069916,SELL,dogecoin,0.047671,10000.00,10000.00
2025-05-20T04:45:27.782308,SELL,bitcoin,0.058192,10000.00,8927.41
2025-05-20T04:45:31.871552,SELL,litecoin,0.037243,10000.00,8927.41
2025-05-20T04:45:37.735653,SELL,bitcoin,0.058192,10000.00,9404.11
2025-05-20T04:45:43.859900,SELL,litecoin,0.037243,10000.00,9404.11
2025-05-20T04:45:54.037983,BUY,litecoin,0.140840,10000.00,9404.11
2025-05-20T04:46:18.441707,BUY,ripple,0.112672,10000.00,9404.11
2025-05-20T04:46:28.761733,SELL,litecoin,0.018621,10000.00,8927.41
2025-05-20T04:50:06.186223,BUY,bitcoin,0.144564,10000.00,8927.41
2025-05-20T04:50:40.738611,SELL,ethereum,0.046554,10000.00,8927.41
2025-05-20T04:50:42.800616,SELL,bitcoin,0.101378,10000.00,8927.41
2025-05-20T04:50:57.030046,SELL,bitcoin,0.050689,10000.00,8927.41
2025-05-20T04:51:23.434172,SELL,ethereum,0.023277,10000.00,8927.41
2025-05-20T04:52:14.735367,BUY,bitcoin,0.160031,10000.00,8927.41
2025-05-20T04:52:22.881956,SELL,litecoin,0.009311,10000.00,8927.41
2025-05-20T04:52:26.993258,SELL,bitcoin,0.105360,10000.00,8927.41
